question_text,option_a,option_b,option_c,option_d,correct_answer
"Which country is known as the 'Land of the Rising Sun'?",China,Japan,South Korea,Taiwan,Japan
"What is the largest organ in the human body?",Liver,Heart,Skin,Brain,Skin
"Which planet is known as the 'Morning Star'?",Venus,Mars,Jupiter,Saturn,Venus
"What is the currency of Switzerland?",Euro,Franc,Pound,Dollar,Franc
"Which programming language is known for its use in data science and machine learning?",Java,Python,C++,JavaScript,Python
"What is the smallest unit of matter?",Atom,Electron,Proton,Neutron,Atom
"Which ocean is the largest by area?",Atlantic,Pacific,Indian,Arctic,Pacific
"What is the chemical formula for water?",H2O,CO2,NaCl,O2,H2O
"Which country has the most natural lakes?",Canada,Russia,United States,Finland,Canada
"What is the speed of light in a vacuum?",300000 km/s,3000000 km/s,30000 km/s,30000000 km/s,300000 km/s
